experiment,c,T_PM,d50,d90,d10,T_TM,mf_PM,mf_TM,Q_g,w_crystal,c_in,T_PM_in,T_TM_in
file_22636.txt,0.18054734605483996,312.0499410049458,200.00193905340063,200.0016596759874,200.000146310171,311.7185616302916,0.0005157099302016292,0.007660207158855751,3.5654709889002067e-07,0.005050351023991926,0.18999999999999997,323.15,323.15
file_2345.txt,0.18374513358492522,314.5545127988728,0.00040220803820366493,0.0005015727502146728,0.000353697961649161,314.16838272976975,0.0006328315973474994,0.009585268904443089,5.22429826972163e-07,0.005092176722537298,0.18999999999999997,323.15,323.15
file_25611.txt,0.1836250532274481,316.37546704522333,0.00043079221076083364,0.0004324742270934698,0.00036166755478618464,316.14712360033684,0.0004166005099383788,0.010840464716964933,5.141330926354058e-07,0.0058982090751791595,0.18999999999999997,323.15,323.15
file_26408.txt,0.18372575279953945,315.58964539625293,0.00034009160119482146,0.0004550451360934186,0.0004023269990930631,315.3236756858398,0.000531428653077009,0.010145432877693282,5.333894045156347e-07,0.005532786097970812,0.18999999999999997,323.15,323.15
file_27517.txt,0.18210922065729296,314.18932439560024,0.0003645788028055045,0.0005289278833860745,0.00035354544682893,313.91176752260884,0.0005529214694314395,0.009177461032897998,5.161486242968404e-07,0.0052458897239200586,0.18999999999999997,323.15,323.15
file_28440.txt,0.1831877842543012,314.4273709851246,0.0003777296059634121,0.0004968911384507232,0.0003180270506753995,313.9852300178461,0.0005840132783680192,0.008585685648309827,4.890185957288518e-07,0.005627146039215127,0.18999999999999997,323.15,323.15
file_29351.txt,0.1822536719692979,314.17817773898145,0.0003774822580950533,0.0004911089608853174,0.0003200865414641005,313.8092458025699,0.00048262729065511614,0.009233660097711495,6.127575950668005e-07,0.006480551029013632,0.18999999999999997,323.15,323.15
file_2993.txt,0.17427749089493155,314.59560993977664,0.00040915655668829966,0.0005214741748923016,0.00037160555334522126,314.3161625042247,0.0005581991121704884,0.009910926697785339,5.718599071131138e-07,0.006504225255436103,0.17695047308712,323.12063736011265,323.12063736011265
file_31274.txt,0.17457822390567695,312.8840046560757,0.00044304236198869276,0.0004778872087055406,0.0003943403325875542,312.4820778572024,0.0005842670571941819,0.007380076168764646,5.492871399773269e-07,0.0045657169917690315,0.17695047308712,323.12063736011265,323.12063736011265
file_33091.txt,0.17355399417845138,313.2506671317401,0.0004285839653758258,0.0005147858050982473,0.0003687070375215787,312.99545080391516,0.00041999066777215996,0.008787689704657835,5.125383077203007e-07,0.0054821038162873705,0.17695047308712,323.12063736011265,323.12063736011265
file_3388.txt,0.17347621390165976,314.14980461350353,0.0005059085778523758,0.00048120784871221844,0.00041449917486202913,313.84108971724385,0.0006055356414483056,0.009172143027053862,5.100498719705756e-07,0.005908082152859414,0.17695047308712,323.12063736011265,323.12063736011265
file_34890.txt,0.18195364359562194,314.22702016523573,0.00042041195971996294,0.0005165453446642312,0.000319466345058211,313.96666905809406,0.000507519420048333,0.009059690447279627,4.3324122624125296e-07,0.005446713623955575,0.18999999999999997,323.15,323.15
file_35884.txt,0.17325970831672266,312.28515416157046,0.00042785298788050667,0.000481021781429255,0.0004040951804246491,311.8571548743806,0.0005492698589003069,0.007854553424700162,5.296374919339968e-07,0.00620185562983668,0.17695047308712,323.12063736011265,323.12063736011265
file_37125.txt,0.17562383184617208,315.1632685957064,0.00042988935774661714,0.0004964840400328483,0.00037900551347178047,314.830779499506,0.0004968765082043436,0.009122456728871062,6.104286769385498e-07,0.005341260324641341,0.17695047308712,323.12063736011265,323.12063736011265
file_3742.txt,0.17460328505114267,313.2807576771345,199.99930560330696,199.99942503681248,200.0010534440524,313.02245946669666,0.00041868755648252667,0.0074899831965184235,4.496952690136066e-07,0.004905350734732046,0.17695047308712,323.12063736011265,323.12063736011265
file_3834.txt,0.18113586982354055,313.4489664309086,0.0003714879668752176,0.0004464961252833278,0.0002931095032726889,313.0878138812287,0.0005622539323121655,0.00829908634163584,5.525528542309656e-07,0.00685832015559283,0.18999999999999997,323.15,323.15
file_3835.txt,0.1721019072369357,311.1688228452416,0.000469160545866198,0.0005399968697600166,0.0004609273926206568,310.88975643089447,0.00044352696033068853,0.0070588036198523975,4.54185767697813e-07,0.004677010462854144,0.17695047308712,323.12063736011265,323.12063736011265
file_38361.txt,0.1800390074960151,314.34888245983075,0.00037944381014638973,0.0005961410200335002,0.000328232166255299,314.1284103512446,0.00040436702117785915,0.009404668988201985,4.451991593302358e-07,0.006866133946777943,0.18999999999999997,323.15,323.15
file_39455.txt,0.18389020968338615,315.86116529313927,0.0004383903004346412,0.0004660980625562126,0.0003465186865084049,315.5421884732447,0.0005922654697813606,0.009590878137853786,4.759130033289203e-07,0.006180458792639694,0.18999999999999997,323.15,323.15
file_39936.txt,0.17387844702014535,313.71380939100067,0.000413434445492425,0.0005620541106575206,0.0003406069450790561,313.4852925930672,0.0004481680255381276,0.008349990091922747,4.783820221626726e-07,0.006170658361222972,0.17695047308712,323.12063736011265,323.12063736011265
file_40489.txt,0.17445613256839215,313.94849882382397,0.0004150752891474967,0.00047732802779393047,0.00037176030738781437,313.70890189194216,0.0005597745363526558,0.00826316676740619,4.0700938889502064e-07,0.005151863876754321,0.17695047308712,323.12063736011265,323.12063736011265
file_40558.txt,0.17549101455504176,315.53776357232044,0.00043985912955876646,0.0005011260354598823,0.00034615619072910316,315.24680808135287,0.0004799291775545549,0.009724001754656804,5.958887671047543e-07,0.005674591647481561,0.17695047308712,323.12063736011265,323.12063736011265
file_41551.txt,0.17366094587481723,313.2028009301169,200.00010064499466,200.00063842756475,200.00033527873873,312.95552705695434,0.0004885326092837609,0.00783506256136255,4.3302114181038454e-07,0.006007724842497012,0.17695047308712,323.12063736011265,323.12063736011265
file_42685.txt,0.17945293370615592,313.15648590764414,0.00037637895223600307,0.0004310359101462322,0.00037571130170019253,312.83982926091306,0.0004923025518425671,0.008994093519998596,5.36693488328377e-07,0.007313531058517839,0.18999999999999997,323.15,323.15
file_43864.txt,0.18342972862649157,315.6200527903379,0.00043440568819523996,0.0004292173701423357,0.0003242776218454458,315.3035437065816,0.0005792769877874009,0.010298704487156354,5.61338000596256e-07,0.006488112622239376,0.18999999999999997,323.15,323.15
file_46647.txt,0.18133003027539446,313.52962057514515,0.0004541470502189065,0.0004802181315861901,0.0003122146637149742,313.25961697320406,0.00037293767464229905,0.00804709330966139,5.323596740789368e-07,0.005391398251318558,0.18999999999999997,323.15,323.15
