eps_c,eps_T_PM,eps_d10,eps_d50,eps_d90,eps_T_TM
-4.467368e-05,-0.018066406,-9.1284164e-07,-3.20666e-07,1.05414074e-07,-0.022094727
2.30968e-05,-0.020385742,-8.143543e-07,-1.6024569e-07,5.046313e-07,-0.024902344
2.3260713e-05,-0.026397705,-7.127237e-07,-2.3341272e-08,8.850475e-07,-0.032104492
0.00014899671,-0.020874023,-7.5876596e-07,9.028008e-08,6.891787e-08,-0.026153564
4.544854e-05,-0.020751953,-8.001516e-07,1.6935519e-07,1.2860983e-07,-0.026641846
-8.879602e-05,-0.019134521,-1.1261145e-06,-2.4226028e-07,9.03965e-08,-0.02407837
-1.0564923e-05,-0.025238037,-1.1755328e-06,-2.477318e-07,1.14989234e-07,-0.032073975
8.249283e-05,-0.032409668,-7.862109e-07,8.114148e-08,6.4162305e-07,-0.040008545
8.574128e-05,-0.028320312,-1.1728553e-06,-2.675224e-07,9.9185854e-08,-0.0357666
4.4092536e-05,-0.023590088,-1.1782977e-06,-2.4438486e-07,1.4979742e-07,-0.030273438
4.786253e-05,-0.022888184,-9.2972186e-07,-6.170012e-08,4.7066715e-07,-0.02923584
4.2170286e-06,-0.024169922,-1.1776865e-06,-2.4883775e-07,5.51634e-07,-0.030975342
0.00011920929,-0.02355957,-1.1796365e-06,-4.2104512e-07,1.7593266e-07,-0.016815186
5.7041645e-05,0.097717285,-1.2407836e-06,-3.298046e-07,-2.0707375e-07,0.11230469
0.00015977025,0.041015625,-9.4252755e-07,1.4863326e-07,2.64321e-07,0.050567627
0.00015695393,0.008850098,-5.4834527e-07,1.0491931e-07,4.369067e-07,0.010620117
-6.7204237e-06,0.07043457,-1.2043165e-06,-4.277681e-07,-1.299195e-07,0.070373535
3.9458275e-05,0.063964844,-1.4316465e-06,-7.5632124e-07,-1.3617682e-07,0.05883789
0.0001167953,0.0105896,-1.4916295e-06,-1.030945e-06,-3.2648677e-07,0.0040283203
8.6426735e-05,-0.004425049,-1.5548139e-06,-7.362105e-07,-5.126931e-07,-0.010375977
-7.468462e-05,-0.004058838,-1.1993397e-06,-4.398462e-07,-7.4791024e-07,-0.009216309
7.864833e-05,-0.0018615723,-9.3941344e-07,-6.00412e-08,7.4651325e-08,-0.0073242188
0.00010186434,0.0006713867,-1.0152871e-06,1.648441e-07,8.517818e-07,-0.006011963
-3.3974648e-05,0.0004272461,-1.0118238e-06,1.1586235e-07,7.371709e-07,-0.0043640137
1.1429191e-05,-0.001739502,-1.2353703e-06,-2.3446046e-07,1.352164e-07,-0.006866455
2.9206276e-05,-0.0032348633,-1.4519028e-06,-6.899354e-07,-5.225593e-07,-0.009185791
-2.3588538e-05,-0.001953125,-1.4955585e-06,-9.164505e-07,-8.021598e-07,-0.0076293945
-5.3092837e-05,3.0517578e-05,-1.2502715e-06,-3.5145786e-07,4.7846697e-08,-0.0058288574
5.7816505e-06,0.0014648438,-1.0109216e-06,1.899025e-07,8.743664e-07,-0.00491333
4.671514e-05,-0.0015563965,-1.0480289e-06,1.8044375e-09,6.153714e-07,-0.008178711
1.3843179e-05,-0.0027770996,-1.2562377e-06,-1.2866803e-07,4.0832674e-07,-0.008972168
-2.0176172e-05,-0.0026855469,-1.2342061e-06,8.6962245e-08,5.218608e-07,-0.008422852
6.984174e-05,-0.0047302246,-1.0841468e-06,-2.4298788e-07,1.05734216e-07,-0.010772705
1.3202429e-05,-0.0059814453,-7.234921e-07,-1.8524588e-07,1.1207885e-07,-0.012207031
-2.6255846e-05,-0.0029907227,-2.7986243e-07,3.1356467e-07,6.550108e-07,-0.007965088
-3.6656857e-05,-0.0022583008,-5.090551e-07,1.2983219e-07,4.781177e-07,-0.007446289
-1.2919307e-05,-0.0018615723,-6.9034286e-07,-1.7031562e-07,2.9461808e-07,-0.0068969727
-3.4496188e-05,-0.0018005371,-9.766954e-07,-5.226466e-07,3.0209776e-08,-0.0070495605
8.1822276e-05,-0.0007324219,-9.0670073e-07,-1.9653817e-07,3.457826e-07,-0.0056152344
-7.8976154e-05,-0.0005493164,-9.4185816e-07,-2.9682997e-07,2.834713e-07,-0.005706787
-2.3573637e-05,-0.00045776367,-8.662755e-07,-1.2290548e-07,4.3175532e-07,-0.004180908
